Port Name,In FreeBSD Security,In BlackArch Porting
erl-matter,NÃO,SIM
espionage,NÃO,SIM
eternal-scanner,NÃO,SIM
etherchange,NÃO,SIM
etherflood,NÃO,SIM
evil-ssdp,NÃO,SIM
evil-winrm,NÃO,SIM
evil-winrm-py,NÃO,SIM
evilclippy,NÃO,SIM
evilgrade,NÃO,SIM
evilize,NÃO,SIM
evillimiter,NÃO,SIM
evilmaid,NÃO,SIM
evilpdf,NÃO,SIM
evine,NÃO,SIM
evtkit,NÃO,SIM
exabgp,NÃO,SIM
exe2hex,NÃO,SIM
exe2image,NÃO,SIM
exescan,NÃO,SIM
exiflooter,NÃO,SIM
exitmap,NÃO,SIM
expimp-lookup,NÃO,SIM
exploitpack,NÃO,SIM
expose,NÃO,SIM
express,NÃO,SIM
exrex,NÃO,SIM
ext4magic,NÃO,SIM
extended-ssrf-search,NÃO,SIM
extractbitlockerkeys,NÃO,SIM
extracthosts,NÃO,SIM
extractusnjrnl,NÃO,SIM
eyeballer,NÃO,SIM
eyepwn,NÃO,SIM
eyewitness,NÃO,SIM
f-scrack,NÃO,SIM
facebash,NÃO,SIM
facebookosint,NÃO,SIM
facebot,NÃO,SIM
facebrok,NÃO,SIM
facebrute,NÃO,SIM
factordb-pycli,NÃO,SIM
fakeap,NÃO,SIM
fakedns,NÃO,SIM
fakemail,NÃO,SIM
fakenet-ng,NÃO,SIM
fakenetbios,NÃO,SIM
fang,NÃO,SIM
faradaysec,NÃO,SIM
fastnetmon,NÃO,SIM
fatback,NÃO,SIM
fav-up,NÃO,SIM
favfreak,NÃO,SIM
fbcmd,NÃO,SIM
fbht,NÃO,SIM
fbi,NÃO,SIM
fbid,NÃO,SIM
fdsploit,NÃO,SIM
featherduster,NÃO,SIM
fern-wifi-cracker,NÃO,SIM
fernflower,NÃO,SIM
fernmelder,NÃO,SIM
feroxbuster,NÃO,SIM
ferret,NÃO,SIM
ffm,NÃO,SIM
ffuf-scripts,NÃO,SIM
fgscanner,NÃO,SIM
fhttp,NÃO,SIM
fi6s,NÃO,SIM
fierce,NÃO,SIM
filebuster,NÃO,SIM
filefuzz,NÃO,SIM
filegps,NÃO,SIM
fileintel,NÃO,SIM
filibuster,NÃO,SIM
fimap,NÃO,SIM
finalrecon,NÃO,SIM
find-dns,NÃO,SIM
find3,NÃO,SIM
findmyhash,NÃO,SIM
findmyiphone,NÃO,SIM
findsploit,NÃO,SIM
finduncommonshares,NÃO,SIM
fingerprinter,NÃO,SIM
firebaseenum,NÃO,SIM
firecat,NÃO,SIM
firefox-decrypt,NÃO,SIM
firefox-security-toolkit,NÃO,SIM
fireprox,NÃO,SIM
firewalk,NÃO,SIM
firmwalker,NÃO,SIM
firmware-mod-kit,NÃO,SIM
firstexecution,NÃO,SIM
firstorder,NÃO,SIM
fl0p,NÃO,SIM
flamerobin,NÃO,SIM
flare,NÃO,SIM
flare-floss,NÃO,SIM
flashlight,NÃO,SIM
flashscanner,NÃO,SIM
flashsploit,NÃO,SIM
flask-session-cookie-manager2,NÃO,SIM
flask-session-cookie-manager3,NÃO,SIM
flask-unsign,NÃO,SIM
flasm,NÃO,SIM
flowinspect,NÃO,SIM
flunym0us,NÃO,SIM
fluxion,NÃO,SIM
flyr,NÃO,SIM
fockcache,NÃO,SIM
forager,NÃO,SIM
foresight,NÃO,SIM
forkingportscanner,NÃO,SIM
formatstringexploiter,NÃO,SIM
fortiscan,NÃO,SIM
fpdns,NÃO,SIM
fport,NÃO,SIM
fprotlogparser,NÃO,SIM
fraud-bridge,NÃO,SIM
fred,NÃO,SIM
freewifi,NÃO,SIM
frida-disasm,NÃO,SIM
frida-extract,NÃO,SIM
frida-ios-dump,NÃO,SIM
frida-push,NÃO,SIM
fridump,NÃO,SIM
frisbeelite,NÃO,SIM
fs-exploit,NÃO,SIM
fs-nyarl,NÃO,SIM
fscan,NÃO,SIM
fsnoop,NÃO,SIM
fssb,NÃO,SIM
fstealer,NÃO,SIM
ftester,NÃO,SIM
ftp-fuzz,NÃO,SIM
ftp-scanner,NÃO,SIM
ftp-spider,NÃO,SIM
ftplib,NÃO,SIM
ftpmap,NÃO,SIM
ftpscout,NÃO,SIM
fuddly,NÃO,SIM
fusil,NÃO,SIM
fuxploider,NÃO,SIM
fuzzap,NÃO,SIM
fuzzball2,NÃO,SIM
fuzzbunch,NÃO,SIM
fuzzdb,NÃO,SIM
fuzzdiff,NÃO,SIM
fuzzgrind,NÃO,SIM
fuzzowski,NÃO,SIM
fuzztalk,NÃO,SIM
g72x++,NÃO,SIM
gadgetinspector,NÃO,SIM
gadgettojscript,NÃO,SIM
galleta,NÃO,SIM
garak,NÃO,SIM
gasmask,NÃO,SIM
gatecrasher,NÃO,SIM
gau,NÃO,SIM
gcat,NÃO,SIM
gconf,NÃO,SIM
gcpbucketbrute,NÃO,SIM
gcrypt,NÃO,SIM
gdbgui,NÃO,SIM
gdir.pl,NÃO,SIM
gene,NÃO,SIM
genisys,NÃO,SIM
genlist,NÃO,SIM
geoedge,NÃO,SIM
geoipgen,NÃO,SIM
