Port Name,In FreeBSD Security,In BlackArch Porting
bloodhound-python,NÃO,SIM
bloodyad,NÃO,SIM
blst,SIM,NÃO
blue-hydra,NÃO,SIM
bluebox-ng,NÃO,SIM
bluebugger,NÃO,SIM
bluediving,NÃO,SIM
bluefog,NÃO,SIM
bluelog,NÃO,SIM
bluemaho,NÃO,SIM
bluepot,NÃO,SIM
blueprint,NÃO,SIM
blueranger,NÃO,SIM
bluescan,NÃO,SIM
bluesnarfer,NÃO,SIM
bluez-hciconfig,NÃO,SIM
bluffy,NÃO,SIM
bluphish,NÃO,SIM
bluto,NÃO,SIM
bmap,NÃO,SIM
bmap-tools,NÃO,SIM
bmc-tools,NÃO,SIM
bob-the-butcher,NÃO,SIM
bof-detector,NÃO,SIM
bonesi,NÃO,SIM
boofuzz,NÃO,SIM
boopsuite,NÃO,SIM
bopscrk,NÃO,SIM
boringssl,SIM,NÃO
botan3,SIM,NÃO
botb,NÃO,SIM
bowcaster,NÃO,SIM
box-js,NÃO,SIM
bqm,NÃO,SIM
braa,NÃO,SIM
braces,NÃO,SIM
brainstorm,NÃO,SIM
brakeman,NÃO,SIM
breads,NÃO,SIM
bridge-utils,NÃO,SIM
bridgekeeper,NÃO,SIM
brosec,NÃO,SIM
brotli06,NÃO,SIM
brotli06-testdata,NÃO,SIM
browselist,NÃO,SIM
browser-fuzzer,NÃO,SIM
bruno,NÃO,SIM
brut3k1t,NÃO,SIM
brute-force,NÃO,SIM
brute12,NÃO,SIM
bruteblock,SIM,NÃO
bruteforce-luks,NÃO,SIM
bruteforce-salted-openssl,NÃO,SIM
bruteforce-wallet,NÃO,SIM
brutemap,NÃO,SIM
brutespray,NÃO,SIM
brutessh,NÃO,SIM
brutex,NÃO,SIM
brutexss,NÃO,SIM
brutus,NÃO,SIM
bsdiff,NÃO,SIM
bsdsfv,SIM,NÃO
bsmtrace,SIM,NÃO
bsmtrace3,SIM,NÃO
bsqlbf,NÃO,SIM
bsqlinjector,NÃO,SIM
bss,NÃO,SIM
bt_audit,NÃO,SIM
btcrack,NÃO,SIM
btlejack,NÃO,SIM
btproxy-mitm,NÃO,SIM
btscanner,NÃO,SIM
bulk-extractor,NÃO,SIM
bunny,NÃO,SIM
burpsuite,NÃO,SIM
buster,NÃO,SIM
buttinsky,NÃO,SIM
bvi,NÃO,SIM
byepass,NÃO,SIM
bypass-firewall-dns-history,NÃO,SIM
bytecode-viewer,NÃO,SIM
bzrtp,SIM,NÃO
c5scan,NÃO,SIM
c7decrypt,NÃO,SIM
ca_root_nss,SIM,NÃO
cachedump,NÃO,SIM
caesarcipher,SIM,NÃO
cafebabe,NÃO,SIM
cai,NÃO,SIM
caido-cli,NÃO,SIM
caido-desktop,NÃO,SIM
calamares,NÃO,SIM
caldera,SIM,NÃO
caldera-ot,SIM,NÃO
calife,SIM,NÃO
cameradar,NÃO,SIM
camlidl,NÃO,SIM
camover,NÃO,SIM
camscan,NÃO,SIM
can-utils,NÃO,SIM
canalyzat0r,NÃO,SIM
canari,NÃO,SIM
cangibrina,NÃO,SIM
cansina,NÃO,SIM
cantoolz,NÃO,SIM
capa,NÃO,SIM
capfuzz,NÃO,SIM
captipper,NÃO,SIM
cardpeek,SIM,NÃO
cardpwn,NÃO,SIM
cargo-audit,SIM,NÃO
cariddi,NÃO,SIM
carwhisperer,NÃO,SIM
casefile,NÃO,SIM
catana,NÃO,SIM
catnthecanary,NÃO,SIM
catphish,NÃO,SIM
ccrawldns,NÃO,SIM
ccrypt,SIM,NÃO
ccsrch,SIM,NÃO
cdpsnarf,NÃO,SIM
cecster,NÃO,SIM
cent,NÃO,SIM
centry,NÃO,SIM
cero,NÃO,SIM
certgraph,NÃO,SIM
certi,NÃO,SIM
certificate_maker,SIM,NÃO
certipy,NÃO,SIM
certmgr,SIM,NÃO
certmonger,SIM,NÃO
certspotter,SIM,NÃO
certsync,NÃO,SIM
cewl,NÃO,SIM
cflow,NÃO,SIM
cfssl,SIM,NÃO
cfv,SIM,NÃO
chainsaw,NÃO,SIM
chameleon,NÃO,SIM
chameleonmini,NÃO,SIM
changeme,NÃO,SIM
chankro,NÃO,SIM
chaos-client,NÃO,SIM
chaosmap,NÃO,SIM
chaosreader,SIM,SIM
chapcrack,NÃO,SIM
cheat-sh,NÃO,SIM
check-weak-dh-ssh,NÃO,SIM
checkiban,NÃO,SIM
checkov,NÃO,SIM
checkpassword,SIM,NÃO
checkpassword-pam,SIM,NÃO
checkpwd,NÃO,SIM
chiasm-shell,NÃO,SIM
chipsec,NÃO,SIM
chiron,NÃO,SIM
